中文,英文,单元,年级,类别
遇到,meet,M1,四年级上半学期,单词
人们,people,M1,四年级上半学期,单词
他的,his,M1,四年级上半学期,单词
她的,her,M1,四年级上半学期,单词
只有,only,M1,四年级上半学期,单词
11,eleven,M1,四年级上半学期,单词
12,twelve,M1,四年级上半学期,单词
13,thirteen,M1,四年级上半学期,单词
14,fourteen,M1,四年级上半学期,单词
15,fifteen,M1,四年级上半学期,单词
16,sixteen,M1,四年级上半学期,单词
年龄,age,M1,四年级上半学期,单词
班级,class,M1,四年级上半学期,单词
吉尔,Jill,M1,四年级上半学期,单词
乔（男子名）,Joe,M1,四年级上半学期,单词
露丝（女子名）,Rose,M1,四年级上半学期,单词
问,ask,M1,四年级上半学期,单词
大笑,laugh,M1,四年级上半学期,单词
知道,know,M1,四年级上半学期,单词
桌子,desk,M1,四年级上半学期,单词
面具,mask,M1,四年级上半学期,单词
伙伴,mate,M1,四年级上半学期,单词
同桌,deskmate,M1,四年级上半学期,单词
同学,classmate,M1,四年级上半学期,单词
能力,ability/…can…,M1,四年级上半学期,单词
爱好,hobby,M1,四年级上半学期,单词
在…附近,near,M1,四年级上半学期,单词
画画（用颜料）,paint,M1,四年级上半学期,单词
画画（用铅笔）,draw,M1,四年级上半学期,单词
阅读,read,M1,四年级上半学期,单词
写字,write,M1,四年级上半学期,单词
游泳,swim,M1,四年级上半学期,单词
跳（双脚）,jump,M1,四年级上半学期,单词
学生,student,M1,四年级上半学期,单词
海豚,dolphin,M1,四年级上半学期,单词
黄蜂,wasp,M1,四年级上半学期,单词
薯片,crisp,M1,四年级上半学期,单词
高兴的,happy,M1,四年级上半学期,单词
饥饿的,hungry,M1,四年级上半学期,单词
口渴的,thirsty,M1,四年级上半学期,单词
悲伤的,sad,M1,四年级上半学期,单词
饱的,full,M1,四年级上半学期,单词
劳累的,tired,M1,四年级上半学期,单词
苏珊（女子名）,Susie,M1,四年级上半学期,单词
西蒙（男子名）,Simon,M1,四年级上半学期,单词
吐司,toast,M1,四年级上半学期,单词
邮递员,postman,M1,四年级上半学期,单词
在...附近,near,M1,四年级上半学期,单词
路灯,lamp post,M1,四年级上半学期,单词
瘦的/细的,thin,M1,四年级上半学期,单词
鹅卵石,pebble,M1,四年级上半学期,单词
激动的,excited,M1,四年级上半学期,单词
展示一张你朋友的照片,show a photo of your friend,M1,四年级上半学期,短语
谈论他/她,talk about him/her,M1,四年级上半学期,短语
带上面具,put on the mask,M1,四年级上半学期,短语
将要/打算,be going to,M1,四年级上半学期,短语
在…旁边,next to,M1,四年级上半学期,短语
步行到…去,walk to = go to,M1,四年级上半学期,短语
住在…附近,live near,M1,四年级上半学期,短语
爬树,climb a tree,M1,四年级上半学期,短语
数到三 / 从…数到…,count to three / count…from…,M1,四年级上半学期,短语
一个梦中的采访,a dream interview,M1,四年级上半学期,短语
一只口渴的乌鸦,a thirsty crow,M1,四年级上半学期,短语
走开,go away,M1,四年级上半学期,短语
（这里）有,here is/are,M1,四年级上半学期,短语
她的姓名是莎莉。,Her name is Sally.,M1,四年级上半学期,句子
他的姓名是保罗。,His name is Paul.,M1,四年级上半学期,句子
我是彼得的同班同学。,I'm Peter's classmate.,M1,四年级上半学期,句子
我们打算要去公园。,We are going to the park.,M1,四年级上半学期,句子
她的学号是16。,Her student number is sixteen.,M1,四年级上半学期,句子
她住在学校附近。,She lives near the school.,M1,四年级上半学期,句子
她每天走路去学校。,She walks to school every day.,M1,四年级上半学期,句子
她每天走路去学校。,She goes to school on foot every day.,M1,四年级上半学期,句子
你呢？,What about you?,M1,四年级上半学期,句子
马丁坐在他的桌子旁，制作着一个搞笑的面具。,"Martin is sitting at his desk, making a funny mask.",M1,四年级上半学期,句子
再见。,See you.=Goodbye.=Bye.,M1,四年级上半学期,句子
我是新来的。,I'm new here.,M1,四年级上半学期,句子
你学号多少？,What's your student number?,M1,四年级上半学期,句子
超级女孩会画图吗？,Can Supergirl paint a picture?,M1,四年级上半学期,句子
不，她不会，但她能跑得很快。,"No, she can't, but she can run fast.",M1,四年级上半学期,句子
我非常喜欢游泳。,I like swimming very much.,M1,四年级上半学期,句子
欢迎来到今天的“超级时间”。,Welcome to today's ‘Super Time’.,M1,四年级上半学期,句子
这是我们的客人，超级女孩。,"This is our guest, Supergirl.",M1,四年级上半学期,句子
大家好。,"Hello, everyone！",M1,四年级上半学期,句子
你们俩都很棒！,You're both super!,M1,四年级上半学期,句子
把它给你的老师,Give it to your teacher,M1,四年级上半学期,句子
对于黄蜂来说，今天不是个好日子。,It's not a good day for the wasp.,M1,四年级上半学期,句子
去在我的薯片上玩。,To play on my crisps.,M1,四年级上半学期,句子
我们回来了。,We're back.,M1,四年级上半学期,句子
你们感觉如何？,How do you feel?,M1,四年级上半学期,句子
我们很累。,We're tired.,M1,四年级上半学期,句子
你们饿吗？,Are you hungry?,M1,四年级上半学期,句子
是的，我们很饿。,"Yes, we are.",M1,四年级上半学期,句子
吃一些饼干吧。,Have some biscuits.,M1,四年级上半学期,句子
谢谢，妈妈。,"Thanks, Mum.",M1,四年级上半学期,句子
你口渴吗，本？,"Are you thirsty, Ben?",M1,四年级上半学期,句子
是的，我很口渴。,"Yes, I'm thirsty.",M1,四年级上半学期,句子
那么喝一些水吧。,Have some water then.,M1,四年级上半学期,句子
谢谢你，妈妈。,"Thank you, Mum.",M1,四年级上半学期,句子
请进。,Please come in.,M1,四年级上半学期,句子
这儿有些水给你。,Here's some water for you.,M1,四年级上半学期,句子
他们相互不喜欢。,They don't like each other.,M1,四年级上半学期,句子
今天又热又干燥。,It is hot and dry today.,M1,四年级上半学期,句子
它里面有一些水。,It has some water in it.,M1,四年级上半学期,句子
我是这么的口渴，但我喝不到它。,"I'm so thirsty, but I can't drink it.",M1,四年级上半学期,句子
这个瓶子太长和窄。,This bottle is too long and thin.,M1,四年级上半学期,句子
这儿有一些鹅卵石。,Here are some pebbles.,M1,四年级上半学期,句子
我有一个主意！,I have an idea!,M1,四年级上半学期,句子
乌鸦放一些鹅卵石在瓶子里。,The crow puts some pebbles in the bottle.,M1,四年级上半学期,句子
她想要什么？,What does she want?,M1,四年级上半学期,句子
一块带有奶油和莓的蛋糕。,A cake with cream and berries.,M1,四年级上半学期,句子
那是她想要的。,That's what she wants.,M1,四年级上半学期,句子
一大瓶柠檬水。,A large bottle of lemonade.,M1,四年级上半学期,句子
邮局里面的邮递员正在吃一块吐司。,The postman in the post office is eating a piece of toast.,M1,四年级上半学期,句子
（外）祖父,grandfather,M2,四年级上半学期,单词
（外）祖母,grandmother,M2,四年级上半学期,单词
父亲,father,M2,四年级上半学期,单词
母亲,mother,M2,四年级上半学期,单词
叔叔,uncle,M2,四年级上半学期,单词
阿姨,aunt,M2,四年级上半学期,单词
我,me,M2,四年级上半学期,单词
堂表兄弟姐妹,cousin,M2,四年级上半学期,单词
中秋节,Mid-Autumn Day,M2,四年级上半学期,单词
有时候,sometimes ,M2,四年级上半学期,单词
盘子,dish,M2,四年级上半学期,单词
鱼,fish,M2,四年级上半学期,单词
洗,wash,M2,四年级上半学期,单词
潜水,dive,M2,四年级上半学期,单词
工作,job,M2,四年级上半学期,单词
火,fire,M2,四年级上半学期,单词
勇敢的,brave,M2,四年级上半学期,单词
医生,doctor,M2,四年级上半学期,单词
护士,nurse,M2,四年级上半学期,单词
老师,teacher,M2,四年级上半学期,单词
学生,student,M2,四年级上半学期,单词
警察,police officer,M2,四年级上半学期,单词
消防员,firefighter,M2,四年级上半学期,单词
厨师,cook,M2,四年级上半学期,单词
公交车司机,bus driver,M2,四年级上半学期,单词
害怕的,afraid,M2,四年级上半学期,单词
公主,princess,M2,四年级上半学期,单词
消防站,fire station,M2,四年级上半学期,单词
警局,police station,M2,四年级上半学期,单词
大衣,coat,M2,四年级上半学期,单词
衬衫,shirt,M2,四年级上半学期,单词
女士衬衫,blouse,M2,四年级上半学期,单词
T恤,T-shirt,M2,四年级上半学期,单词
半身裙,skirt,M2,四年级上半学期,单词
毛衣,sweater,M2,四年级上半学期,单词
牛仔裤,jeans,M2,四年级上半学期,单词
短裤,shorts,M2,四年级上半学期,单词
白色的,white,M2,四年级上半学期,单词
绿色的,green,M2,四年级上半学期,单词
蓝色的,blue,M2,四年级上半学期,单词
灰色的,grey,M2,四年级上半学期,单词
紫红色的,purple,M2,四年级上半学期,单词
布莱恩（男子名）, Bryan,M2,四年级上半学期,单词
牙齿（单数）,tooth,M2,四年级上半学期,单词
牙齿（复数）,teeth,M2,四年级上半学期,单词
他/她的家庭照片,photos of him/her,M2,四年级上半学期,短语
吃一些月饼,have some mooncakes,M2,四年级上半学期,短语
观赏美丽的月亮,watch the beautiful moon,M2,四年级上半学期,短语
抓住这条鱼。,catch the fish,M2,四年级上半学期,短语
洗这条鱼。,wash the fish,M2,四年级上半学期,短语
在消防站工作,work in/at the fire station.,M2,四年级上半学期,短语
这个男人是谁？,Who's that man?,M2,四年级上半学期,句子
哦，那是我的叔叔。,"Oh, that's my uncle.",M2,四年级上半学期,句子
他是我妈妈的兄弟。,He's my mother's brother.,M2,四年级上半学期,句子
他是一个警察。,He's a police officer.,M2,四年级上半学期,句子
你有任何的兄弟和姐妹吗？,Do you have any brothers and sisters?,M2,四年级上半学期,句子
不，我没有，但我有一个表兄弟。,"No, I don't, but I have a cousin. ",M2,四年级上半学期,句子
你有任何的叔叔和阿姨吗，彼得？,"Do you have any uncles and aunts, Peter?",M2,四年级上半学期,句子
对的，我有。我有一个叔叔和两个阿姨，并且我有4个堂表兄弟姐妹。,"Yes, I do.l have one uncle and two aunts,and I have four cousins.",M2,四年级上半学期,句子
欢迎来到我家。,Wecome to my home.,M2,四年级上半学期,句子
他11岁。,He's eleven years old.,M2,四年级上半学期,句子
他是我的叔叔。,He's my uncle. ,M2,四年级上半学期,句子
他会潜水。,He can dive.,M2,四年级上半学期,句子
真的吗？他很酷！,Really? He's cool!,M2,四年级上半学期,句子
是的，那是对的。,"Yes, that's right.",M2,四年级上半学期,句子
请来帮助我,Please come and help me,M2,四年级上半学期,句子
在中秋节，吉尔和她的父母看望她的祖父母。,"On Mid-Autumn Day, Jill and her parents visit her grandparents.",M2,四年级上半学期,句子
我有一个谜语给你猜。,I have a riddle for you.,M2,四年级上半学期,句子
有时候你能看见它，但有时候你不能。,"Sometimes you can see it, but sometimes you can't.",M2,四年级上半学期,句子
它在天空中又大又亮。,It's big and bright in the sky!,M2,四年级上半学期,句子
谁是那个穿短黑连衣裙的女孩？,Who's that girl in the short black dress?,M2,四年级上半学期,句子
谁是那个穿亮绿色衬衫的男人？,Who's that man in the bright green shirt?,M2,四年级上半学期,句子
打电话给消防站。,Call the fire station.,M2,四年级上半学期,句子
带来消防车。,Bring the fire engine.,M2,四年级上半学期,句子
扑灭火灾。,Put out the fire.,M2,四年级上半学期,句子
你爸爸是做什么的，吉尔,"What does your father do, Jjil?",M2,四年级上半学期,句子
你妈妈做什么工作？,What's your mother’s job?,M2,四年级上半学期,句子
他是一个消防员。,He is a firefighter.,M2,四年级上半学期,句子
怀特夫人是做什么工作的？  她是护士吗？,What does Mrs White do? Is she a nurse?,M2,四年级上半学期,句子
不，她不是。她是一个老师。,"No,she isn't. She is a teacher.",M2,四年级上半学期,句子
参观一个消防站。,Visiting a fire station.,M2,四年级上半学期,句子
欢迎来到我们的消防站。,Welcome to our fire station.,M2,四年级上半学期,句子
火是危险的。,Fire is dangerous.,M2,四年级上半学期,句子
我能帮助人们。,I can help people.,M2,四年级上半学期,句子
不要玩火。,Don't play with fire.,M2,四年级上半学期,句子
不客气。,You're welcome.,M2,四年级上半学期,句子
她喜欢这条裙子。,She likes the dress.,M2,四年级上半学期,句子
并且不在意这个价格。,And doesn't care about the price.,M2,四年级上半学期,句子
我有一个朋友。,I have a friend.,M2,四年级上半学期,句子
他的名字是汤姆。,His name is Tom.,M2,四年级上半学期,句子
他穿着一件绿色的T恤和一条蓝色的短裤。,He has a green T-shirt and a pair of blue shorts. ,M2,四年级上半学期,句子
这条裤子太长了,The pair of shorts is too long.,M2,四年级上半学期,句子
彼得穿着一件橘色的T恤。,Peter has an orange T-shirt.,M2,四年级上半学期,句子
它有很大的牙齿。,It has big teeth.,M2,四年级上半学期,句子
它有很小但锋利的牙齿。,It has small but sharp teeth.,M2,四年级上半学期,句子
狮子在网里。,The lion is in a net.,M2,四年级上半学期,句子
它很害怕。,It is afraid.,M2,四年级上半学期,句子
老鼠会啃咬。,The mouse can bite.,M2,四年级上半学期,句子
它能帮助狮子。,It can help the lion.,M2,四年级上半学期,句子
他们现在是朋友了。,They are friends now.,M2,四年级上半学期,句子
女孩们都穿着长夹克衫，白色的T恤，黑色的袜子和很短的短裤。,"The girls are all wearing long jackets, white T-shirts,black socks and short shorts, ",M2,四年级上半学期,句子
他放了一些冰激凌在面包上。,"He puts some ice cream on the bread, ",M2,四年级上半学期,句子
并且吃了带冰激凌的面包。,And eats the ice cream with the bread.,M2,四年级上半学期,句子
穿红裙子的女孩很高。,The gril in a red dress is tall.,M2,四年级上半学期,句子
地点,place,M3,四年级上半学期,单词
活动,activitie,M3,四年级上半学期,单词
餐厅/食堂,canteen,M3,四年级上半学期,单词
办公室,office,M3,四年级上半学期,单词
室内体育馆,gym,M3,四年级上半学期,单词
图书馆,library,M3,四年级上半学期,单词
大厅,hall,M3,四年级上半学期,单词
在…的后面,behind,M3,四年级上半学期,单词
在…的前面,in front of,M3,四年级上半学期,单词
电脑房,computer lab,M3,四年级上半学期,单词
音乐教室,music room,M3,四年级上半学期,单词
教学大楼,classroom building,M3,四年级上半学期,单词
教师办公室,teachers' office,M3,四年级上半学期,单词
忙碌的,busy,M3,四年级上半学期,单词
第二,second,M3,四年级上半学期,单词
生长,grow,M3,四年级上半学期,单词
超市,supermarket,M3,四年级上半学期,单词
餐厅,restaurant,M3,四年级上半学期,单词
邮局,post office,M3,四年级上半学期,单词
在…中间,between,M3,四年级上半学期,单词
在…旁边,next to,M3,四年级上半学期,单词
寄一张明信片,send a postcard,M3,四年级上半学期,单词
面包店,bakery,M3,四年级上半学期,单词
衣服店,clothes shops,M3,四年级上半学期,单词
区域,section,M3,四年级上半学期,单词
眼镜商店,Glasses Shop,M3,四年级上半学期,单词
鼹鼠夫人,Mrs Mole,M3,四年级上半学期,单词
有魔法的,magic,M3,四年级上半学期,单词
烟雾,smoke,M3,四年级上半学期,单词
蜘蛛,spider,M3,四年级上半学期,单词
干净和整洁的,clean and tidy,M3,四年级上半学期,短语
在我们学校,in our school,M3,四年级上半学期,短语
钟和表,clocks and watches,M3,四年级上半学期,短语
待在酒店里,stay in the hotels ,M3,四年级上半学期,短语
一张你的小区的地图,a map of your neighbourhood,M3,四年级上半学期,短语
在街角,at the street corner,M3,四年级上半学期,短语
很多其他的东西,many other things,M3,四年级上半学期,短语
一条摇摆的尾巴,a waggly tail,M3,四年级上半学期,短语
待出售,for sale,M3,四年级上半学期,短语
一条面包,a loaf of bread,M3,四年级上半学期,短语
一袋糖果,a packet of sweets,M3,四年级上半学期,短语
一块巧克力,a bar of chocolate,M3,四年级上半学期,短语
一碗面条,a bowl of noodles,M3,四年级上半学期,短语
一袋饼干,a packet of biscuits,M3,四年级上半学期,短语
一瓶水,a bottle of water,M3,四年级上半学期,短语
在超市,in the supermarket,M3,四年级上半学期,短语
带上,put on,M3,四年级上半学期,短语
艾米和吉米和金一起学习。,Amy and Jimmy study with kim.,M3,四年级上半学期,句子
欢迎来到彩虹小学。,Welcome to Rainbow Primary School.,M3,四年级上半学期,句子
它里面有很多电脑。,There are many computers in it.,M3,四年级上半学期,句子
它里面有很多书本。,There are a lot of books in it.,M3,四年级上半学期,句子
我们在这里吃午餐。,We have lunch here.,M3,四年级上半学期,句子
它在教学大楼的后面。,It's behind the classroom building. ,M3,四年级上半学期,句子
我们在那里跑和玩。,We can run and play there.,M3,四年级上半学期,句子
一次去彩虹小学的参观。,A visit to Rainbow Primary School.,M3,四年级上半学期,句子
一个来自英国的老师。,A teacher from the UK. ,M3,四年级上半学期,句子
他现在正在参观彩虹小学。,He is now visiting Rainbow Primary School.,M3,四年级上半学期,句子
彼得和爱丽丝正在带他参观。,Peter and Alice are showing him around.,M3,四年级上半学期,句子
在它的前面有一个花园。,There is a garden in front of it.,M3,四年级上半学期,句子
这层楼上有什么？,What's on this floor?,M3,四年级上半学期,句子
我们在它里面上电脑课。,We have computer lessons in it.,M3,四年级上半学期,句子
在它里面有一个橱柜和一个书架。,There is a cupboard and a bookshelf in it.,M3,四年级上半学期,句子
非常感谢。,Thank you so much.,M3,四年级上半学期,句子
不客气。,You're welcome.,M3,四年级上半学期,句子
在动物学校没有教室，但有一个大森林和一条小河。,"There are no classrooms in Animal School, but there is a big 
forest and a small river.",M3,四年级上半学期,句子
怎么了？,What's the matter?,M3,四年级上半学期,句子
我不这么认为。,I don't think so. ,M3,四年级上半学期,句子
请别伤心。,Please don't be sad.,M3,四年级上半学期,句子
试一试，小兔子。,"Have a try, Little Rabbit! ",M3,四年级上半学期,句子
我是第一。,I'm the first!,M3,四年级上半学期,句子
祖父给我一些水果。,Grandpa gives me some fruit.,M3,四年级上半学期,句子
它在花园街126号。,It's at No.126 Garden Street.,M3,四年级上半学期,句子
在你家附近有没有一个公园？,Is there a park near your home?,M3,四年级上半学期,句子
是的，有的。它在我家后面。,"Yes, there is. It's behind my home.",M3,四年级上半学期,句子
它在我们城市的一条繁忙的街道上。,It's on a busy street in our city.,M3,四年级上半学期,句子
有没有任何的商店？,Are there any shops?,M3,四年级上半学期,句子
有的。有一些商店，一个超市，一些餐馆和一个公园。,"Yes. There are some shops, a supermarket,some restaurants, and a park",M3,四年级上半学期,句子
它在公园街上吗？,Is it on Park Street?,M3,四年级上半学期,句子
是的。,"Yes, it is.",M3,四年级上半学期,句子
和你的同学们讨论它,Talk about it with your classmates.,M3,四年级上半学期,句子
打扰一下,Excuse me.,M3,四年级上半学期,句子
我想要买一些面包。,I want to buy some bread.,M3,四年级上半学期,句子
我们能给你指路。,We can show you the way.,M3,四年级上半学期,句子
非常感谢。,Thank you so much.,M3,四年级上半学期,句子
这是我们的荣幸。,It's our pleasure.,M3,四年级上半学期,句子
在上海的一条繁忙的路,A busy road in Shanghai.,M3,四年级上半学期,句子
南京路在上海的中心。,Nanjing Road is in the centre of Shanghai.,M3,四年级上半学期,句子
那时的灯又亮又漂亮。,The lights are bright and beautiful then.,M3,四年级上半学期,句子
你家在哪里？,Where is your home?,M3,四年级上半学期,句子
在格林路上。,It's on Green Street.,M3,四年级上半学期,句子
数一数蛇。,Count the snakes.,M3,四年级上半学期,句子
四条正在湖里游泳。,Four are swimming in the lake.,M3,四年级上半学期,句子
那条在橱窗里的狗多少钱？,How much is that doggie in the window?,M3,四年级上半学期,句子
一小袋糖果。,A small packet of sweets，please.,M3,四年级上半学期,句子
它多少钱？,How much is it?,M3,四年级上半学期,句子
它12元。,"It's twelve yuan, please.",M3,四年级上半学期,句子
他们多钱钱？,How much are they?,M3,四年级上半学期,句子
他们是5元。,"They're five yuan, please.",M3,四年级上半学期,句子
我可以再买一些蛋糕吗，妈妈？,"May I have some cakes too, Mum?",M3,四年级上半学期,句子
好的。,All right.,M3,四年级上半学期,句子
别吃太多的巧克力。,Don't eat too much chocolate.,M3,四年级上半学期,句子
我看不清楚。,l can't see well.,M3,四年级上半学期,句子
一副小的眼镜多少钱？,How much is a small pair of glasses?,M3,四年级上半学期,句子
11森林元。,Eleven forest yuan.,M3,四年级上半学期,句子
你太大了。,You're too big.,M3,四年级上半学期,句子
别担心。我有一个主意！,Don't worry. I have an idea!,M3,四年级上半学期,句子
我能看见一些棍子和一些烟雾在我前面。,I can see some sticks and some smoke in front of me.,M3,四年级上半学期,句子
老麦克当劳,old MacDonald ,M4,四年级上半学期,单词
到处,everywhere ,M4,四年级上半学期,单词
干草,hay,M4,四年级上半学期,单词
草,grass,M4,四年级上半学期,单词
谷物,corn,M4,四年级上半学期,单词
肉,meat,M4,四年级上半学期,单词
鸭子的叫声,Quack-quack,M4,四年级上半学期,单词
羊的叫声,Baa-baa!,M4,四年级上半学期,单词
牛的叫声,Moo-moo!,M4,四年级上半学期,单词
马的叫声,Nay-nay！,M4,四年级上半学期,单词
猪的叫声,Oink-oink!,M4,四年级上半学期,单词
这些,these,M4,四年级上半学期,单词
生气的,angry,M4,四年级上半学期,单词
围巾,scarf,M4,四年级上半学期,单词
滑板,skateboard,M4,四年级上半学期,单词
写生簿,sketchbook,M4,四年级上半学期,单词
鸭舌帽,cap,M4,四年级上半学期,单词
照相机,camera,M4,四年级上半学期,单词
鸟舍,aviary,M4,四年级上半学期,单词
喷泉,fountain,M4,四年级上半学期,单词
池塘,pond,M4,四年级上半学期,单词
花生酱,peanut butter,M4,四年级上半学期,单词
糖果,candy,M4,四年级上半学期,单词
这,this,M4,四年级上半学期,单词
那,that,M4,四年级上半学期,单词
1月,January,M4,四年级上半学期,单词
2月,February,M4,四年级上半学期,单词
3月,March,M4,四年级上半学期,单词
4月,April,M4,四年级上半学期,单词
5月,May,M4,四年级上半学期,单词
6月,June,M4,四年级上半学期,单词
7月,July,M4,四年级上半学期,单词
8月,August,M4,四年级上半学期,单词
9月,September,M4,四年级上半学期,单词
10月,October,M4,四年级上半学期,单词
11月,November,M4,四年级上半学期,单词
12月,December,M4,四年级上半学期,单词
晴朗的,sunny,M4,四年级上半学期,单词
下雨的,rainy,M4,四年级上半学期,单词
多云的,cloudy,M4,四年级上半学期,单词
刮风的,windy,M4,四年级上半学期,单词
温暖的,warm,M4,四年级上半学期,单词
炎热的,hot,M4,四年级上半学期,单词
潮湿的,wet,M4,四年级上半学期,单词
干燥的,dry,M4,四年级上半学期,单词
圣诞树,Christmas tree,M4,四年级上半学期,单词
北面,north ,M4,四年级上半学期,单词
小路,path,M4,四年级上半学期,单词
思考,think,M4,四年级上半学期,单词
开始（s开头）,star,M4,四年级上半学期,单词
充满,fill,M4,四年级上半学期,单词
一次去农场的参观,a visit to a farm,M4,四年级上半学期,短语
在他的农场上,on his farm ,M4,四年级上半学期,短语
喂动物,feed the animals,M4,四年级上半学期,短语
又快又远,fast and far,M4,四年级上半学期,短语
在世纪公园,at Century Park,M4,四年级上半学期,短语
拍一些照片,take some photos,M4,四年级上半学期,短语
在世纪公园的照片,photos at Century Park,M4,四年级上半学期,短语
去游泳,go swimming,M4,四年级上半学期,短语
开一个圣诞派对,have a Christmas party,M4,四年级上半学期,短语
开始生长,begin to grow,M4,四年级上半学期,短语
下雨天,rainy days,M4,四年级上半学期,短语
一年的结束,the end of the year,M4,四年级上半学期,短语
别乱扔垃圾。,Don't litter.,M4,四年级上半学期,句子
别在草地上走路。,Don't walk on the grass.,M4,四年级上半学期,句子
别摘花。,Don't pick flowers.,M4,四年级上半学期,句子
别扔石头。,Don't throw stones.,M4,四年级上半学期,句子
把垃圾扔在垃圾箱里,Put the rubbish in the rubbish bin.,M4,四年级上半学期,句子
他们都喜欢谷物。,They all like corn.,M4,四年级上半学期,句子
他们吃什么？,What do they eat?,M4,四年级上半学期,句子
他们吃干草。,They eat hay.,M4,四年级上半学期,句子
关上大门。,Close the gate.,M4,四年级上半学期,句子
他用谷物喂Big。,He feeds Big with the corn.,M4,四年级上半学期,句子
Big住在猪圈里。,Big lives in a pen.,M4,四年级上半学期,句子
Big摇晃他的两个大耳朵并且很是开心。,Big swings his two big ears and is very happy.,M4,四年级上半学期,句子
她正戴着一条红色的围巾。,She's wearing a red scarf.,M4,四年级上半学期,句子
她正在滑滑板。,She's skating on a skateboard.,M4,四年级上半学期,句子
扔骰子和玩一个棋盘游戏,Throw a dice and play a board game.,M4,四年级上半学期,句子
野餐篮里有什么，乔？,"What's in the picnic basket, Joe?",M4,四年级上半学期,句子
我不知道。,I don't know.,M4,四年级上半学期,句子
让我想想。,Let me see.,M4,四年级上半学期,句子
让我们去世纪公园并且进行一次野餐。,Let's go to Century Park and have a picnic.,M4,四年级上半学期,句子
世纪公园在哪里，方老师？,"Where is Century Park, Miss Fang?",M4,四年级上半学期,句子
它离我们学校很远。,It‘s far away from our school.,M4,四年级上半学期,句子
我们可以乘坐校车去那里。,We can take the school bus there.,M4,四年级上半学期,句子
你有什么，丹尼？,"What do you have, Dannu?",M4,四年级上半学期,句子
我有一个鸭舌帽和一瓶水。,I have a cap and a bottle of water.,M4,四年级上半学期,句子
凯蒂和方老师正看着公园的地图。,Kitty and Miss Fang are looking at the map of  the park.,M4,四年级上半学期,句子
暖房在哪里？,Where the greenhouse?,M4,四年级上半学期,句子
就在这里。,It's here.,M4,四年级上半学期,句子
在它的旁边有一些鸟舍。,There are some aviaries next to it.,M4,四年级上半学期,句子
他们是鸟儿们的家。,They're homes for birds.,M4,四年级上半学期,句子
我们能去看一看吗？,Can we go and have a look?,M4,四年级上半学期,句子
当然。,Of course.,M4,四年级上半学期,句子
学生们在世纪公园拍了很多好看的照片。,The students take many nice photos at Century Park.,M4,四年级上半学期,句子
凯蒂，彼得和丹尼正在展示他们。,"Kitty,Peter and Danny are showing them.",M4,四年级上半学期,句子
她正在秋千上玩。,She is playing on the swing.,M4,四年级上半学期,句子
这些是我的照片。,These are my photos.,M4,四年级上半学期,句子
她正在看池塘里的鱼和鸭子。,She is watching the fish and ducks in the pond. ,M4,四年级上半学期,句子
他正在睡觉。,He is sleeping.,M4,四年级上半学期,句子
别喂鸟。,Don't feed the birds.,M4,四年级上半学期,句子
别在草地上走。,Don't walk on the gross.,M4,四年级上半学期,句子
别摘花。,Don't pick the flower.,M4,四年级上半学期,句子
别再池塘里玩。,Don't play the pond.,M4,四年级上半学期,句子
孩子们正在花园里玩。,The children are playing in the garden.,M4,四年级上半学期,句子
他们秋千荡的很高。,Thay can swing very high.,M4,四年级上半学期,句子
他们能滑得很快。,They can slide very fast.,M4,四年级上半学期,句子
我住在中国。,I live in China.,M4,四年级上半学期,句子
她来自澳大利亚。,She is from Australia.,M4,四年级上半学期,句子
她住在澳大利亚。,She lives in Australia. ,M4,四年级上半学期,句子
我们经常相互打电话。,We often make phone calls to each other.,M4,四年级上半学期,句子
现在澳大利亚的天气如何？,How's the weather in Australia now?,M4,四年级上半学期,句子
在五月和六月，在这里天气总是凉爽的。,"In May and June, it's always cool here.",M4,四年级上半学期,句子
那么在十二月份天气如何？,How's the weather in December then?,M4,四年级上半学期,句子
在一年中有四个季节。,There are four seasons in a year.,M4,四年级上半学期,句子
植物们长了又长。,The plants grow and grow.,M4,四年级上半学期,句子
叶子是绿色的。,The leaes are green. ,M4,四年级上半学期,句子
叶子落了又落。,The leaves fall and fall. ,M4,四年级上半学期,句子
在圣诞节，吉尔收到一封来自艾米的邮件。,"At Christmas, Jill receives an e-mail from Amy. ",M4,四年级上半学期,句子
圣诞节快乐。,Merry Christmas ! ,M4,四年级上半学期,句子
在澳大利亚，夏天在12月来到。,"In Australia, summer comes in December. ",M4,四年级上半学期,句子
在圣诞节没有雪。,There is no snow at Christmas.,M4,四年级上半学期,句子
太阳照了又照，并且天气非常炎热。,"The sun shines and shines, and it is very hot. ",M4,四年级上半学期,句子
在圣诞节我们常常去沙滩。,We often go to the beach at Christmas. ,M4,四年级上半学期,句子
在一月和二月天气经常下雪。,In January and Feoruary it often snows.,M4,四年级上半学期,句子
